month,day,hour,src_beacon_hill,src_boston_university,src_fenway,src_financial_district,src_haymarket_square,src_north_end,src_north_station,src_northeastern_university,src_south_station,src_theatre_district,src_west_end,demand,weekday,is_weekend,avg_price,avg_distance,avg_temperature,avg_precip_intensity,avg_precip_prob,avg_humidity,avg_wind_speed,avg_visibility,avg_temp_high,avg_temp_low,prop_uber,prop_shared,prop_special,prop_standard,prop_xl
12,18,2,0,0,0,0,0,0,0,1,0,0,0,176,1,0,19.46875,2.904659090909091,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.5,0.14772727272727273,0.09659090909090909,0.125,0.18181818181818182
12,18,2,0,0,0,0,0,0,1,0,0,0,0,133,1,0,16.545112781954888,2.1666917293233086,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.46616541353383456,0.15037593984962405,0.07518796992481203,0.15037593984962405,0.15037593984962405
12,18,2,0,0,0,0,0,1,0,0,0,0,0,127,1,0,14.984251968503937,1.4606299212598426,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.4094488188976378,0.14960629921259844,0.09448818897637795,0.13385826771653545,0.1732283464566929
12,18,2,0,0,0,0,1,0,0,0,0,0,0,175,1,0,13.014285714285714,0.9689142857142857,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.6,0.16,0.08571428571428572,0.17714285714285713,0.17714285714285713
12,18,2,0,0,0,1,0,0,0,0,0,0,0,173,1,0,19.32369942196532,3.3125433526011565,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.5491329479768786,0.15606936416184972,0.07514450867052024,0.2138728323699422,0.14450867052023122
12,18,2,0,0,1,0,0,0,0,0,0,0,0,129,1,0,18.6046511627907,2.9488372093023254,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.6976744186046512,0.18604651162790697,0.13953488372093023,0.10077519379844961,0.2248062015503876
12,18,2,0,1,0,0,0,0,0,0,0,0,0,127,1,0,17.4251968503937,2.731102362204725,37.06,0.0,0.0,0.69,6.65,9.88,41.42,23.89,0.6062992125984252,0.13385826771653545,0.11811023622047244,0.1889763779527559,0.14960629921259844
12,18,2,1,0,0,0,0,0,0,0,0,0,0,157,1,0,15.611464968152866,2.090636942675159,37.06,0.0,0.0,0.69,6.6499999999999995,9.88,41.42,23.89,0.5923566878980892,0.15286624203821655,0.14012738853503184,0.1592356687898089,0.15286624203821655
12,18,3,0,0,0,0,0,0,0,0,0,0,0,131,1,0,16.209923664122137,1.7821374045801528,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.5572519083969466,0.13740458015267176,0.07633587786259542,0.183206106870229,0.21374045801526717
12,18,3,0,0,0,0,0,0,0,0,0,0,1,125,1,0,15.46,2.17136,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.72,0.144,0.152,0.176,0.168
12,18,3,0,0,0,0,0,0,0,0,0,1,0,130,1,0,17.442307692307693,2.0413076923076923,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.38461538461538464,0.15384615384615385,0.08461538461538462,0.18461538461538463,0.13846153846153847
12,18,3,0,0,0,0,0,0,0,0,1,0,0,134,1,0,16.71268656716418,1.7967910447761195,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.39552238805970147,0.1417910447761194,0.04477611940298507,0.1865671641791045,0.1417910447761194
12,18,3,0,0,0,0,0,0,0,1,0,0,0,149,1,0,19.100671140939596,2.9526174496644293,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.5704697986577181,0.1610738255033557,0.08053691275167785,0.1476510067114094,0.174496644295302
12,18,3,0,0,0,0,0,0,1,0,0,0,0,143,1,0,15.706293706293707,2.163006993006993,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.6153846153846154,0.1958041958041958,0.1048951048951049,0.13286713286713286,0.18181818181818182
12,18,3,0,0,0,0,0,1,0,0,0,0,0,177,1,0,15.454802259887005,1.7051412429378532,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.5254237288135594,0.192090395480226,0.096045197740113,0.14689265536723164,0.1694915254237288
12,18,3,0,0,0,0,1,0,0,0,0,0,0,151,1,0,13.125827814569536,1.0649006622516557,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.4370860927152318,0.15894039735099338,0.06622516556291391,0.2052980132450331,0.17880794701986755
12,18,3,0,0,0,1,0,0,0,0,0,0,0,130,1,0,17.68076923076923,3.006307692307692,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.5538461538461539,0.17692307692307693,0.08461538461538462,0.16923076923076924,0.2
12,18,3,0,0,1,0,0,0,0,0,0,0,0,178,1,0,18.03932584269663,2.7780337078651685,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.4101123595505618,0.19662921348314608,0.0898876404494382,0.15168539325842698,0.14606741573033707
12,18,3,0,1,0,0,0,0,0,0,0,0,0,122,1,0,20.5,3.356229508196721,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.6475409836065574,0.13934426229508196,0.12295081967213115,0.16393442622950818,0.11475409836065574
12,18,3,1,0,0,0,0,0,0,0,0,0,0,136,1,0,15.227941176470589,2.050294117647059,37.26,0.0,0.0,0.69,6.67,9.842,41.44,23.93,0.49264705882352944,0.18382352941176472,0.09558823529411764,0.17647058823529413,0.11029411764705882
12,18,4,0,0,0,0,0,0,0,0,0,0,0,188,1,0,16.5718085106383,2.1038297872340426,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.889999999999997,0.6170212765957447,0.15425531914893617,0.11170212765957446,0.17553191489361702,0.13829787234042554
12,18,4,0,0,0,0,0,0,0,0,0,0,1,117,1,0,15.495726495726496,1.9861538461538462,37.21,0.0,0.0,0.69,6.789999999999999,9.732,41.42,23.89,0.4700854700854701,0.17094017094017094,0.08547008547008547,0.1623931623931624,0.17094017094017094
12,18,4,0,0,0,0,0,0,0,0,0,1,0,160,1,0,17.05625,2.18825,37.21,0.0,0.0,0.69,6.790000000000001,9.732,41.42,23.89,0.525,0.175,0.0875,0.15625,0.175
12,18,4,0,0,0,0,0,0,0,0,1,0,0,127,1,0,15.582677165354331,1.7793700787401574,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.6220472440944882,0.16535433070866143,0.09448818897637795,0.1889763779527559,0.1889763779527559
12,18,4,0,0,0,0,0,0,0,1,0,0,0,131,1,0,17.099236641221374,2.6787786259541986,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.5877862595419847,0.183206106870229,0.0916030534351145,0.16793893129770993,0.16793893129770993
12,18,4,0,0,0,0,0,0,1,0,0,0,0,162,1,0,16.478395061728396,1.9824691358024689,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.4567901234567901,0.16049382716049382,0.05555555555555555,0.13580246913580246,0.17901234567901234
12,18,4,0,0,0,0,0,1,0,0,0,0,0,112,1,0,14.691964285714286,1.6650892857142858,37.21,0.0,0.0,0.6900000000000001,6.79,9.732,41.42,23.890000000000004,0.5267857142857143,0.16071428571428573,0.09821428571428571,0.16071428571428573,0.15178571428571427
12,18,4,0,0,0,0,1,0,0,0,0,0,0,157,1,0,13.213375796178344,1.0233757961783438,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.39490445859872614,0.15286624203821655,0.06369426751592357,0.17834394904458598,0.1592356687898089
12,18,4,0,0,0,1,0,0,0,0,0,0,0,149,1,0,18.731543624161073,2.78496644295302,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.4697986577181208,0.12751677852348994,0.10067114093959731,0.18791946308724833,0.18120805369127516
12,18,4,0,0,1,0,0,0,0,0,0,0,0,144,1,0,17.30902777777778,2.7725694444444446,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.5138888888888888,0.1736111111111111,0.11805555555555555,0.1875,0.125
12,18,4,0,1,0,0,0,0,0,0,0,0,0,162,1,0,18.70679012345679,2.9139506172839504,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.49382716049382713,0.19135802469135801,0.07407407407407407,0.16049382716049382,0.15432098765432098
12,18,4,1,0,0,0,0,0,0,0,0,0,0,121,1,0,15.47107438016529,2.079586776859504,37.21,0.0,0.0,0.69,6.79,9.732,41.42,23.89,0.6033057851239669,0.1487603305785124,0.09917355371900827,0.19008264462809918,0.2066115702479339
12,18,5,0,0,0,0,0,0,0,0,0,0,0,122,1,0,16.918032786885245,2.0963934426229507,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.5245901639344263,0.1557377049180328,0.06557377049180328,0.14754098360655737,0.1721311475409836
12,18,5,0,0,0,0,0,0,0,0,0,0,1,157,1,0,16.904458598726116,2.215095541401274,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.5095541401273885,0.18471337579617833,0.08280254777070063,0.16560509554140126,0.12738853503184713
12,18,5,0,0,0,0,0,0,0,0,0,1,0,175,1,0,16.06,1.8914857142857142,36.27,0.0,0.0,0.66,9.02,7.357000000000001,32.91,20.9,0.4342857142857143,0.14285714285714285,0.07428571428571429,0.18857142857142858,0.14285714285714285
12,18,5,0,0,0,0,0,0,0,0,1,0,0,140,1,0,15.428571428571429,2.024285714285714,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.6642857142857143,0.18571428571428572,0.1357142857142857,0.15,0.14285714285714285
12,18,5,0,0,0,0,0,0,0,1,0,0,0,130,1,0,18.057692307692307,2.764076923076923,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.5384615384615384,0.17692307692307693,0.07692307692307693,0.18461538461538463,0.16153846153846155
12,18,5,0,0,0,0,0,0,1,0,0,0,0,157,1,0,17.70063694267516,2.379044585987261,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.5095541401273885,0.15286624203821655,0.044585987261146494,0.21656050955414013,0.16560509554140126
12,18,5,0,0,0,0,0,1,0,0,0,0,0,157,1,0,15.012738853503185,1.5178343949044586,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.554140127388535,0.15286624203821655,0.09554140127388536,0.18471337579617833,0.14012738853503184
12,18,5,0,0,0,0,1,0,0,0,0,0,0,137,1,0,14.02919708029197,1.2970802919708029,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.43795620437956206,0.1386861313868613,0.051094890510948905,0.22627737226277372,0.19708029197080293
12,18,5,0,0,0,1,0,0,0,0,0,0,0,140,1,0,17.87142857142857,2.700714285714286,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.4928571428571429,0.2,0.07857142857142857,0.15714285714285714,0.16428571428571428
12,18,5,0,0,1,0,0,0,0,0,0,0,0,143,1,0,18.458041958041957,2.678671328671329,36.27,0.0,0.0,0.66,9.02,7.356999999999999,32.91,20.9,0.5314685314685315,0.15384615384615385,0.08391608391608392,0.13986013986013987,0.17482517482517482
12,18,5,0,1,0,0,0,0,0,0,0,0,0,135,1,0,18.803703703703704,3.0282222222222224,36.27,0.0,0.0,0.66,9.02,7.357,32.91,20.9,0.42962962962962964,0.15555555555555556,0.05925925925925926,0.17777777777777778,0.23703703703703705
